Rho (density): 0.300000
Map width/height: 3500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299965
Number of changes on loop 675 is 7593040
Number of changes on loop 676 is 7593236
Number of changes on loop 677 is 7592089
Number of changes on loop 678 is 7590296
Number of changes on loop 679 is 7589733
Number of changes on loop 680 is 7587800
Number of changes on loop 681 is 7586722
Number of changes on loop 682 is 7584022
Number of changes on loop 683 is 7583192
Number of changes on loop 684 is 7581780
Number of changes on loop 685 is 7580845
Number of changes on loop 686 is 7578648
Number of changes on loop 687 is 7578667
Number of changes on loop 688 is 7576785
Number of changes on loop 689 is 7575729
Number of changes on loop 690 is 7574876
Number of changes on loop 691 is 7573469
Number of changes on loop 692 is 7570954
Number of changes on loop 693 is 7569901
Number of changes on loop 694 is 7568306
Number of changes on loop 695 is 7567609
Number of changes on loop 696 is 7565922
Number of changes on loop 697 is 7565042
Number of changes on loop 698 is 7563092
Number of changes on loop 699 is 7561716
Number of changes on loop 700 is 7559341
Number of changes on loop 701 is 7559352
Number of changes on loop 702 is 7556784
Number of changes on loop 703 is 7555340
Number of changes on loop 704 is 7554000
Number of changes on loop 705 is 7553231
Number of changes on loop 706 is 7552626
Number of changes on loop 707 is 7550907
Number of changes on loop 708 is 7550702
Number of changes on loop 709 is 7549050
Number of changes on loop 710 is 7547773
Number of changes on loop 711 is 7545932
Number of changes on loop 712 is 7543349
Number of changes on loop 713 is 7541642
Number of changes on loop 714 is 7541011
Number of changes on loop 715 is 7539196
Number of changes on loop 716 is 7537267
Number of changes on loop 717 is 7535791
Number of changes on loop 718 is 7535151
Number of changes on loop 719 is 7533707
Number of changes on loop 720 is 7532158
Number of changes on loop 721 is 7531327
Number of changes on loop 722 is 7530905
Number of changes on loop 723 is 7528503
Number of changes on loop 724 is 7527528
Number of changes on loop 725 is 7525767
Number of changes on loop 726 is 7524560
Number of changes on loop 727 is 7523625
Number of changes on loop 728 is 7521930
Number of changes on loop 729 is 7520882
Number of changes on loop 730 is 7519780
Number of changes on loop 731 is 7519132
Number of changes on loop 732 is 7517241
Number of changes on loop 733 is 7515802
Number of changes on loop 734 is 7514960
Number of changes on loop 735 is 7512881
Number of changes on loop 736 is 7511894
Number of changes on loop 737 is 7511926
Number of changes on loop 738 is 7510131
Number of changes on loop 739 is 7508722
Number of changes on loop 740 is 7507968
Number of changes on loop 741 is 7505098
Number of changes on loop 742 is 7503641
Number of changes on loop 743 is 7502735
Number of changes on loop 744 is 7501189
Number of changes on loop 745 is 7499020
Number of changes on loop 746 is 7497691
Number of changes on loop 747 is 7496160
Number of changes on loop 748 is 7494048
Number of changes on loop 749 is 7493221
Number of changes on loop 750 is 7491834
Number of changes on loop 751 is 7490501
Number of changes on loop 752 is 7490442
Number of changes on loop 753 is 7488605
Number of changes on loop 754 is 7488318
Number of changes on loop 755 is 7486134
Number of changes on loop 756 is 7484925
Number of changes on loop 757 is 7483085
Number of changes on loop 758 is 7482239
Number of changes on loop 759 is 7480994
Number of changes on loop 760 is 7479639
Number of changes on loop 761 is 7477941
Number of changes on loop 762 is 7475485
Number of changes on loop 763 is 7475164
Number of changes on loop 764 is 7473906
Number of changes on loop 765 is 7472088
Number of changes on loop 766 is 7471430
Number of changes on loop 767 is 7469762
Number of changes on loop 768 is 7468120
Number of changes on loop 769 is 7466804
Number of changes on loop 770 is 7465407
Number of changes on loop 771 is 7463658
Number of changes on loop 772 is 7462309
Number of changes on loop 773 is 7460305
Number of changes on loop 774 is 7460628
Number of changes on loop 775 is 7459986
Number of changes on loop 776 is 7458005
Number of changes on loop 777 is 7455449
Number of changes on loop 778 is 7454807
Number of changes on loop 779 is 7453751
Number of changes on loop 780 is 7451147
Number of changes on loop 781 is 7449995
Number of changes on loop 782 is 7448094
Number of changes on loop 783 is 7447318
Number of changes on loop 784 is 7446981
Number of changes on loop 785 is 7445641
Number of changes on loop 786 is 7444518
Number of changes on loop 787 is 7442833
Number of changes on loop 788 is 7440673
Number of changes on loop 789 is 7439974
Number of changes on loop 790 is 7437163
Number of changes on loop 791 is 7435039
Number of changes on loop 792 is 7434667
Number of changes on loop 793 is 7433264
Number of changes on loop 794 is 7431693
Number of changes on loop 795 is 7430615
Number of changes on loop 796 is 7430518
Number of changes on loop 797 is 7429133
Number of changes on loop 798 is 7429146
Number of changes on loop 799 is 7428088
