Rho (density): 0.300000
Map width/height: 1500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.300108
Number of changes on loop 678 is 1152209
Number of changes on loop 679 is 1151471
Number of changes on loop 680 is 1151108
Number of changes on loop 681 is 1149985
Number of changes on loop 682 is 1149071
Number of changes on loop 683 is 1148625
Number of changes on loop 684 is 1148097
Number of changes on loop 685 is 1147872
Number of changes on loop 686 is 1146835
Number of changes on loop 687 is 1146513
Number of changes on loop 688 is 1145016
Number of changes on loop 689 is 1144388
Number of changes on loop 690 is 1143205
Number of changes on loop 691 is 1142781
Number of changes on loop 692 is 1142580
Number of changes on loop 693 is 1141454
Number of changes on loop 694 is 1140098
Number of changes on loop 695 is 1139303
Number of changes on loop 696 is 1138361
Number of changes on loop 697 is 1138850
Number of changes on loop 698 is 1138742
Number of changes on loop 699 is 1137751
Number of changes on loop 700 is 1136460
Number of changes on loop 701 is 1135938
Number of changes on loop 702 is 1135083
Number of changes on loop 703 is 1135230
Number of changes on loop 704 is 1134734
Number of changes on loop 705 is 1134087
Number of changes on loop 706 is 1133270
Number of changes on loop 707 is 1132042
Number of changes on loop 708 is 1132031
Number of changes on loop 709 is 1130554
Number of changes on loop 710 is 1129961
Number of changes on loop 711 is 1129689
Number of changes on loop 712 is 1129249
Number of changes on loop 713 is 1128789
Number of changes on loop 714 is 1127511
Number of changes on loop 715 is 1126003
Number of changes on loop 716 is 1125587
Number of changes on loop 717 is 1124410
Number of changes on loop 718 is 1123774
Number of changes on loop 719 is 1123826
Number of changes on loop 720 is 1123918
Number of changes on loop 721 is 1123167
Number of changes on loop 722 is 1121939
Number of changes on loop 723 is 1120686
Number of changes on loop 724 is 1119879
Number of changes on loop 725 is 1119131
Number of changes on loop 726 is 1118590
Number of changes on loop 727 is 1117917
Number of changes on loop 728 is 1116785
Number of changes on loop 729 is 1116774
Number of changes on loop 730 is 1115683
Number of changes on loop 731 is 1115265
Number of changes on loop 732 is 1114444
Number of changes on loop 733 is 1114547
Number of changes on loop 734 is 1113016
Number of changes on loop 735 is 1112685
Number of changes on loop 736 is 1112207
Number of changes on loop 737 is 1111681
Number of changes on loop 738 is 1110466
Number of changes on loop 739 is 1109536
Number of changes on loop 740 is 1108846
Number of changes on loop 741 is 1107341
Number of changes on loop 742 is 1106972
Number of changes on loop 743 is 1106125
Number of changes on loop 744 is 1104937
Number of changes on loop 745 is 1104398
Number of changes on loop 746 is 1104963
Number of changes on loop 747 is 1104404
Number of changes on loop 748 is 1103025
Number of changes on loop 749 is 1102584
Number of changes on loop 750 is 1102384
Number of changes on loop 751 is 1102221
Number of changes on loop 752 is 1101570
Number of changes on loop 753 is 1101075
Number of changes on loop 754 is 1099376
Number of changes on loop 755 is 1099118
Number of changes on loop 756 is 1098313
Number of changes on loop 757 is 1097417
Number of changes on loop 758 is 1097155
Number of changes on loop 759 is 1096632
Number of changes on loop 760 is 1095694
Number of changes on loop 761 is 1094919
Number of changes on loop 762 is 1093709
Number of changes on loop 763 is 1092785
Number of changes on loop 764 is 1092081
Number of changes on loop 765 is 1091406
Number of changes on loop 766 is 1090101
Number of changes on loop 767 is 1089536
Number of changes on loop 768 is 1089098
Number of changes on loop 769 is 1088442
Number of changes on loop 770 is 1087184
Number of changes on loop 771 is 1086488
Number of changes on loop 772 is 1086446
Number of changes on loop 773 is 1085287
Number of changes on loop 774 is 1084222
Number of changes on loop 775 is 1083393
Number of changes on loop 776 is 1083467
Number of changes on loop 777 is 1082776
Number of changes on loop 778 is 1081889
Number of changes on loop 779 is 1081294
Number of changes on loop 780 is 1080249
Number of changes on loop 781 is 1079712
Number of changes on loop 782 is 1079708
Number of changes on loop 783 is 1079430
Number of changes on loop 784 is 1079211
Number of changes on loop 785 is 1078483
Number of changes on loop 786 is 1077953
Number of changes on loop 787 is 1076226
Number of changes on loop 788 is 1075122
Number of changes on loop 789 is 1074568
Number of changes on loop 790 is 1074194
Number of changes on loop 791 is 1072710
Number of changes on loop 792 is 1072210
Number of changes on loop 793 is 1071505
Number of changes on loop 794 is 1071141
Number of changes on loop 795 is 1069745
Number of changes on loop 796 is 1068827
Number of changes on loop 797 is 1068014
Number of changes on loop 798 is 1067401
Number of changes on loop 799 is 1066543
