Rho (density): 0.300000
Map width/height: 1000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299961
Number of changes on loop 796 is 342171
Number of changes on loop 797 is 341767
Number of changes on loop 798 is 341000
Number of changes on loop 799 is 340477
Number of changes on loop 800 is 340265
Number of changes on loop 801 is 340207
Number of changes on loop 802 is 339722
Number of changes on loop 803 is 339811
Number of changes on loop 804 is 338933
Number of changes on loop 805 is 337698
Number of changes on loop 806 is 336839
Number of changes on loop 807 is 336034
Number of changes on loop 808 is 335328
Number of changes on loop 809 is 334361
Number of changes on loop 810 is 333421
Number of changes on loop 811 is 333510
Number of changes on loop 812 is 333060
Number of changes on loop 813 is 332493
Number of changes on loop 814 is 332061
Number of changes on loop 815 is 331745
Number of changes on loop 816 is 330885
Number of changes on loop 817 is 330744
Number of changes on loop 818 is 330288
Number of changes on loop 819 is 329953
Number of changes on loop 820 is 329262
Number of changes on loop 821 is 328516
Number of changes on loop 822 is 327790
Number of changes on loop 823 is 327796
Number of changes on loop 824 is 327088
Number of changes on loop 825 is 326704
Number of changes on loop 826 is 325360
Number of changes on loop 827 is 324581
Number of changes on loop 828 is 324191
Number of changes on loop 829 is 323600
Number of changes on loop 830 is 322947
Number of changes on loop 831 is 322749
Number of changes on loop 832 is 322357
Number of changes on loop 833 is 322034
Number of changes on loop 834 is 321384
Number of changes on loop 835 is 320769
Number of changes on loop 836 is 320134
Number of changes on loop 837 is 319531
Number of changes on loop 838 is 318659
Number of changes on loop 839 is 317796
Number of changes on loop 840 is 317651
Number of changes on loop 841 is 317377
Number of changes on loop 842 is 317067
Number of changes on loop 843 is 316199
Number of changes on loop 844 is 315940
Number of changes on loop 845 is 315394
Number of changes on loop 846 is 314494
Number of changes on loop 847 is 313328
Number of changes on loop 848 is 313317
Number of changes on loop 849 is 312978
