Rho (density): 0.300000
Map width/height: 2500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299893
Number of changes on loop 681 is 3668642
Number of changes on loop 682 is 3667839
Number of changes on loop 683 is 3667702
Number of changes on loop 684 is 3667046
Number of changes on loop 685 is 3665551
Number of changes on loop 686 is 3662925
Number of changes on loop 687 is 3661363
Number of changes on loop 688 is 3661192
Number of changes on loop 689 is 3659965
Number of changes on loop 690 is 3658871
Number of changes on loop 691 is 3658719
Number of changes on loop 692 is 3657740
Number of changes on loop 693 is 3656391
Number of changes on loop 694 is 3655121
Number of changes on loop 695 is 3653215
Number of changes on loop 696 is 3653067
Number of changes on loop 697 is 3652107
Number of changes on loop 698 is 3649779
Number of changes on loop 699 is 3649626
Number of changes on loop 700 is 3649003
Number of changes on loop 701 is 3647661
Number of changes on loop 702 is 3646771
Number of changes on loop 703 is 3646431
Number of changes on loop 704 is 3645844
Number of changes on loop 705 is 3644867
Number of changes on loop 706 is 3643290
Number of changes on loop 707 is 3642747
Number of changes on loop 708 is 3641105
Number of changes on loop 709 is 3639921
Number of changes on loop 710 is 3639053
Number of changes on loop 711 is 3638698
Number of changes on loop 712 is 3636614
Number of changes on loop 713 is 3635924
Number of changes on loop 714 is 3634529
Number of changes on loop 715 is 3633353
Number of changes on loop 716 is 3632125
Number of changes on loop 717 is 3631187
Number of changes on loop 718 is 3630551
Number of changes on loop 719 is 3629070
Number of changes on loop 720 is 3628413
Number of changes on loop 721 is 3628700
Number of changes on loop 722 is 3628011
Number of changes on loop 723 is 3626334
Number of changes on loop 724 is 3624702
Number of changes on loop 725 is 3622584
Number of changes on loop 726 is 3621136
Number of changes on loop 727 is 3620269
Number of changes on loop 728 is 3619713
Number of changes on loop 729 is 3618516
Number of changes on loop 730 is 3617836
Number of changes on loop 731 is 3616683
Number of changes on loop 732 is 3616454
Number of changes on loop 733 is 3615967
Number of changes on loop 734 is 3615058
Number of changes on loop 735 is 3612441
Number of changes on loop 736 is 3611161
Number of changes on loop 737 is 3609472
Number of changes on loop 738 is 3608589
Number of changes on loop 739 is 3609130
Number of changes on loop 740 is 3607484
Number of changes on loop 741 is 3606193
Number of changes on loop 742 is 3606509
Number of changes on loop 743 is 3605189
Number of changes on loop 744 is 3604003
Number of changes on loop 745 is 3602373
Number of changes on loop 746 is 3601012
Number of changes on loop 747 is 3600214
Number of changes on loop 748 is 3599597
Number of changes on loop 749 is 3598441
Number of changes on loop 750 is 3596716
Number of changes on loop 751 is 3595991
Number of changes on loop 752 is 3595703
Number of changes on loop 753 is 3594408
Number of changes on loop 754 is 3593058
Number of changes on loop 755 is 3591649
Number of changes on loop 756 is 3591389
Number of changes on loop 757 is 3590422
Number of changes on loop 758 is 3588895
Number of changes on loop 759 is 3587873
Number of changes on loop 760 is 3586460
Number of changes on loop 761 is 3585390
Number of changes on loop 762 is 3584531
Number of changes on loop 763 is 3584341
Number of changes on loop 764 is 3582984
Number of changes on loop 765 is 3582442
Number of changes on loop 766 is 3581148
Number of changes on loop 767 is 3580674
Number of changes on loop 768 is 3578362
Number of changes on loop 769 is 3577552
Number of changes on loop 770 is 3576758
Number of changes on loop 771 is 3575775
Number of changes on loop 772 is 3574074
Number of changes on loop 773 is 3572778
Number of changes on loop 774 is 3571097
Number of changes on loop 775 is 3569521
Number of changes on loop 776 is 3569249
Number of changes on loop 777 is 3567268
Number of changes on loop 778 is 3565878
Number of changes on loop 779 is 3565821
Number of changes on loop 780 is 3565017
Number of changes on loop 781 is 3564605
Number of changes on loop 782 is 3564269
Number of changes on loop 783 is 3562458
Number of changes on loop 784 is 3560060
Number of changes on loop 785 is 3559469
Number of changes on loop 786 is 3559285
Number of changes on loop 787 is 3559356
Number of changes on loop 788 is 3558283
Number of changes on loop 789 is 3556748
Number of changes on loop 790 is 3555514
Number of changes on loop 791 is 3554868
Number of changes on loop 792 is 3554069
Number of changes on loop 793 is 3551953
Number of changes on loop 794 is 3550247
Number of changes on loop 795 is 3549626
Number of changes on loop 796 is 3548898
Number of changes on loop 797 is 3548294
Number of changes on loop 798 is 3547663
Number of changes on loop 799 is 3545980
